symbol,ds,current_variable_debt
USDC,2023-03-31,256806647.537902
USDC,2023-03-30,292208402.05186
USDC,2023-03-29,292253698.037245
USDC,2023-03-28,292727004.033996
USDC,2023-03-27,290221280.42468
USDC,2023-03-26,286134057.187263
USDC,2023-03-25,286081040.930116
USDC,2023-03-24,288421071.924659
USDC,2023-03-23,291825093.715715
USDC,2023-03-22,295221338.249978
USDC,2023-03-21,292821329.881818
USDC,2023-03-20,291735916.971848
USDC,2023-03-19,223560665.008777
USDC,2023-03-18,215229441.5661
USDC,2023-03-17,213568420.739377
USDC,2023-03-16,213394785.137612
USDC,2023-03-15,214453154.874552
USDC,2023-03-14,215110174.060911
USDC,2023-03-13,213553719.302878
USDC,2023-03-12,212095801.820793
USDC,2023-03-11,210070046.586231
USDC,2023-03-10,283218213.85094
USDC,2023-03-09,304492545.206226
USDC,2023-03-08,310185783.060405
USDC,2023-03-07,310269687.56846
USDC,2023-03-06,355639985.012147
USDC,2023-03-05,355157366.262991
USDC,2023-03-04,354386814.222647
USDC,2023-03-03,366635937.408808
USDC,2023-03-02,351543604.823796
USDC,2023-03-01,345381028.753061
USDC,2023-02-28,345321629.39856
USDC,2023-02-27,345120661.846563
USDC,2023-02-26,345343447.159879
USDC,2023-02-25,345370881.153735
USDC,2023-02-24,345370498.294624
USDC,2023-02-23,345203982.816806
USDC,2023-02-22,344836361.891817
USDC,2023-02-21,319409523.755545
USDC,2023-02-20,315169497.619206
USDC,2023-02-19,319972014.707285
USDC,2023-02-18,319650000.918611
USDC,2023-02-17,320173187.914674
USDC,2023-02-16,313807288.462346
USDC,2023-02-15,311536216.634401
USDC,2023-02-14,311675829.208757
USDC,2023-02-13,311616224.656245
USDC,2023-02-12,311782309.809528
USDC,2023-02-11,311870041.855539
USDC,2023-02-10,312942567.703306
USDC,2023-02-09,310636931.02915
USDC,2023-02-08,309307778.62242
USDC,2023-02-07,307943166.993107
USDC,2023-02-06,308206843.282103
USDC,2023-02-05,316964410.618466
USDC,2023-02-04,315944611.800952
USDC,2023-02-03,315597153.874434
USDC,2023-02-02,313844671.277963
USDC,2023-02-01,312345665.551788
USDC,2023-01-31,306378082.655601
USDC,2023-01-30,297026480.504117
USDC,2023-01-29,293792873.246365
USDC,2023-01-28,293932118.958725
USDC,2023-01-27,295085753.259598
USDC,2023-01-26,280310415.884236
USDC,2023-01-25,278398907.076135
USDC,2023-01-24,253601353.699907
USDC,2023-01-23,253147680.838047
USDC,2023-01-22,252913193.673385
