symbol,ds,current_variable_debt
USDC,2020-12-02,1.5000010554536634
USDC,2020-12-03,86064.06347626074
USDC,2020-12-04,182222.22129103003
USDC,2020-12-05,440934.5653276608
USDC,2020-12-06,553724.0062067116
USDC,2020-12-07,1309214.4718932745
USDC,2020-12-08,1227595.8002584365
USDC,2020-12-09,1574440.0558980496
USDC,2020-12-10,1729148.9600066978
USDC,2020-12-11,1827779.389889448
USDC,2020-12-12,1873639.904076215
USDC,2020-12-13,2769372.612794599
USDC,2020-12-14,3248351.865213094
USDC,2020-12-15,3017077.6610295107
USDC,2020-12-16,4214977.713130244
USDC,2020-12-17,3174207.3359181904
USDC,2020-12-18,3326872.8849407155
USDC,2020-12-19,3433318.8158495007
USDC,2020-12-20,3688927.5432860753
USDC,2020-12-21,3286514.757072344
USDC,2020-12-22,3128219.507757612
USDC,2020-12-23,2732325.1411922723
USDC,2020-12-24,3414672.1704885727
USDC,2020-12-25,3046584.422554105
USDC,2020-12-26,2395875.317491556
USDC,2020-12-27,2629320.401426334
USDC,2020-12-28,2639415.3837617906
USDC,2020-12-29,3406909.732833174
USDC,2020-12-30,4865522.086204693
USDC,2020-12-31,4666422.410941642
USDC,2021-01-01,6564827.8172149565
USDC,2021-01-02,9357517.35766912
USDC,2021-01-03,10845393.368838288
USDC,2021-01-04,9780546.574186048
USDC,2021-01-05,11863734.520382352
USDC,2021-01-06,20112785.566414624
USDC,2021-01-07,10557513.441644177
USDC,2021-01-08,11289757.142318908
USDC,2021-01-09,10827365.505343206
USDC,2021-01-10,11710789.340270847
USDC,2021-01-11,10470467.603137394
USDC,2021-01-12,10982617.526911551
USDC,2021-01-13,13081366.76754942
USDC,2021-01-14,16219356.407309918
USDC,2021-01-15,13317954.064269634
USDC,2021-01-16,15854748.911402002
USDC,2021-01-17,13696499.837614782
USDC,2021-01-18,15106225.858477902
USDC,2021-01-19,18208990.09904655
USDC,2021-01-20,20354713.38623739
USDC,2021-01-21,20904927.08309115
USDC,2021-01-22,21783105.73212925
USDC,2021-01-23,21646125.61183785
USDC,2021-01-24,20943284.183367155
USDC,2021-01-25,18282705.466515604
USDC,2021-01-26,20106103.32252205
USDC,2021-01-27,22048440.935225915
USDC,2021-01-28,23606409.470644943
USDC,2021-01-29,27813843.99580742
USDC,2021-01-30,29150731.96134088
USDC,2021-01-31,28630259.617260747
USDC,2021-02-01,39675414.80353621
USDC,2021-02-02,45131198.23392316
USDC,2021-02-03,47333714.505461104
USDC,2021-02-04,48298761.73493724
USDC,2021-02-05,50614601.929591015
USDC,2021-02-06,47361311.65064914
USDC,2021-02-07,48937008.39550297
USDC,2021-02-08,61879241.66407696
USDC,2021-02-09,61914703.070473015
USDC,2021-02-10,66986526.44373084
USDC,2021-02-11,76244204.87246159
USDC,2021-02-12,79671822.34160046
USDC,2021-02-13,63578019.47818962
USDC,2021-02-14,68920911.14398892
USDC,2021-02-15,70492180.39245003
